UF,DT_MEDICAO,CODIGO,LONGITUDE,NOME,LATITUDE,TEMP_MIN,INTENSIDADE
RS,2003-08-27,83980,-54.11944443,BAGÉ,-31.30555555,3.5,Fraca
RS,2003-08-26,83980,-54.11944443,BAGÉ,-31.30555555,2.1,Moderada
RS,2003-08-25,83980,-54.11944443,BAGÉ,-31.30555555,2.8,Moderada
RS,2003-08-17,83980,-54.11944443,BAGÉ,-31.30555555,2.1,Moderada
RS,2003-08-11,83980,-54.11944443,BAGÉ,-31.30555555,2.7,Moderada
RS,2003-08-27,83919,-50.44194444,BOM JESUS,-28.66944443,-1.7,Forte
RS,2003-08-26,83919,-50.44194444,BOM JESUS,-28.66944443,-1.7,Forte
RS,2003-08-19,83919,-50.44194444,BOM JESUS,-28.66944443,4.9,Fraca
RS,2003-08-18,83919,-50.44194444,BOM JESUS,-28.66944443,1.1,Moderada
RS,2003-08-12,83919,-50.44194444,BOM JESUS,-28.66944443,0.7,Forte
RS,2003-08-11,83919,-50.44194444,BOM JESUS,-28.66944443,-2.5,Forte
RS,2003-08-08,83919,-50.44194444,BOM JESUS,-28.66944443,0.9,Forte
RS,2003-08-07,83919,-50.44194444,BOM JESUS,-28.66944443,0.5,Forte
PR,2003-08-17,83783,-52.38666666,CAMPO MOURAO,-24.08555555,6.0,Fraca
SC,2003-08-29,83887,-51.21611111,CAMPOS NOVOS,-27.38388888,2.2,Moderada
SC,2003-08-28,83887,-51.21611111,CAMPOS NOVOS,-27.38388888,2.5,Moderada
SC,2003-08-27,83887,-51.21611111,CAMPOS NOVOS,-27.38388888,3.4,Fraca
SC,2003-08-26,83887,-51.21611111,CAMPOS NOVOS,-27.38388888,0.8,Forte
SC,2003-08-18,83887,-51.21611111,CAMPOS NOVOS,-27.38388888,1.2,Moderada
SC,2003-08-17,83887,-51.21611111,CAMPOS NOVOS,-27.38388888,1.3,Moderada
SC,2003-08-11,83887,-51.21611111,CAMPOS NOVOS,-27.38388888,1.2,Moderada
SC,2003-08-10,83887,-51.21611111,CAMPOS NOVOS,-27.38388888,1.2,Moderada
SC,2003-08-09,83887,-51.21611111,CAMPOS NOVOS,-27.38388888,0.8,Forte
SC,2003-08-08,83887,-51.21611111,CAMPOS NOVOS,-27.38388888,3.4,Fraca
RS,2003-08-27,83942,-51.18638888,CAXIAS DO SUL,-29.1961111,3.4,Fraca
RS,2003-08-11,83942,-51.18638888,CAXIAS DO SUL,-29.1961111,3.2,Fraca
SC,2003-08-29,83883,-52.66305555,CHAPECO,-27.13555555,2.2,Moderada
SC,2003-08-27,83883,-52.66305555,CHAPECO,-27.13555555,2.6,Moderada
SC,2003-08-26,83883,-52.66305555,CHAPECO,-27.13555555,1.2,Moderada
SC,2003-08-17,83883,-52.66305555,CHAPECO,-27.13555555,2.0,Moderada
SC,2003-08-10,83883,-52.66305555,CHAPECO,-27.13555555,1.6,Moderada
SC,2003-08-09,83883,-52.66305555,CHAPECO,-27.13555555,2.6,Moderada
PR,2003-08-18,83842,-49.23055554,CURITIBA,-25.4486111,1.2,Moderada
PR,2003-08-17,83842,-49.23055554,CURITIBA,-25.4486111,1.5,Moderada
PR,2003-08-12,83842,-49.23055554,CURITIBA,-25.4486111,1.6,Moderada
PR,2003-08-11,83842,-49.23055554,CURITIBA,-25.4486111,1.3,Moderada
PR,2003-08-10,83842,-49.23055554,CURITIBA,-25.4486111,0.3,Forte
RS,2003-08-27,83964,-52.52472221,ENCRUZILHADA DO SUL,-30.54305555,3.8,Fraca
RS,2003-08-26,83964,-52.52472221,ENCRUZILHADA DO SUL,-30.54305555,1.9,Moderada
RS,2003-08-29,83881,-53.253338,IRAI,-27.189451,1.2,Moderada
RS,2003-08-18,83881,-53.253338,IRAI,-27.189451,3.0,Fraca
RS,2003-08-12,83881,-53.253338,IRAI,-27.189451,3.2,Fraca
RS,2003-08-10,83881,-53.253338,IRAI,-27.189451,-0.2,Forte
RS,2003-08-08,83881,-53.253338,IRAI,-27.189451,2.2,Moderada
PR,2003-08-26,83836,-50.63749999,IRATI,-25.50277777,1.0,Moderada
PR,2003-08-19,83836,-50.63749999,IRATI,-25.50277777,1.8,Moderada
PR,2003-08-18,83836,-50.63749999,IRATI,-25.50277777,-1.1,Forte
PR,2003-08-17,83836,-50.63749999,IRATI,-25.50277777,-1.5,Forte
PR,2003-08-13,83836,-50.63749999,IRATI,-25.50277777,3.3,Fraca
PR,2003-08-12,83836,-50.63749999,IRATI,-25.50277777,1.2,Moderada
PR,2003-08-11,83836,-50.63749999,IRATI,-25.50277777,-2.0,Forte
PR,2003-08-10,83836,-50.63749999,IRATI,-25.50277777,1.2,Moderada
PR,2003-08-08,83836,-50.63749999,IRATI,-25.50277777,1.8,Moderada
PR,2003-08-26,83811,-50.85361111,IVAI,-25.01083333,0.6,Forte
PR,2003-08-18,83811,-50.85361111,IVAI,-25.01083333,0.8,Forte
PR,2003-08-17,83811,-50.85361111,IVAI,-25.01083333,-0.9,Forte
PR,2003-08-12,83811,-50.85361111,IVAI,-25.01083333,3.0,Fraca
PR,2003-08-11,83811,-50.85361111,IVAI,-25.01083333,0.7,Forte
PR,2003-08-10,83811,-50.85361111,IVAI,-25.01083333,0.0,Forte
SC,2003-08-29,83891,-50.335567,LAGES,-27.802108,-1.0,Forte
SC,2003-08-28,83891,-50.335567,LAGES,-27.802108,-0.3,Forte
SC,2003-08-27,83891,-50.335567,LAGES,-27.802108,-0.3,Forte
SC,2003-08-26,83891,-50.335567,LAGES,-27.802108,-1.9,Forte
SC,2003-08-22,83891,-50.335567,LAGES,-27.802108,7.0,Fraca
SC,2003-08-20,83891,-50.335567,LAGES,-27.802108,6.0,Fraca
SC,2003-08-19,83891,-50.335567,LAGES,-27.802108,5.3,Fraca
SC,2003-08-18,83891,-50.335567,LAGES,-27.802108,-0.5,Forte
SC,2003-08-13,83891,-50.335567,LAGES,-27.802108,5.5,Fraca
SC,2003-08-12,83891,-50.335567,LAGES,-27.802108,5.2,Fraca
SC,2003-08-11,83891,-50.335567,LAGES,-27.802108,-1.0,Forte
SC,2003-08-10,83891,-50.335567,LAGES,-27.802108,-1.1,Forte
SC,2003-08-09,83891,-50.335567,LAGES,-27.802108,2.2,Moderada
SC,2003-08-07,83891,-50.335567,LAGES,-27.802108,2.9,Moderada
RS,2003-08-29,83916,-51.51277777,LAGOA VERMELHA,-28.22249999,3.0,Fraca
RS,2003-08-28,83916,-51.51277777,LAGOA VERMELHA,-28.22249999,2.6,Moderada
RS,2003-08-27,83916,-51.51277777,LAGOA VERMELHA,-28.22249999,3.8,Fraca
RS,2003-08-26,83916,-51.51277777,LAGOA VERMELHA,-28.22249999,0.6,Forte
RS,2003-08-18,83916,-51.51277777,LAGOA VERMELHA,-28.22249999,3.8,Fraca
RS,2003-08-17,83916,-51.51277777,LAGOA VERMELHA,-28.22249999,2.4,Moderada
RS,2003-08-12,83916,-51.51277777,LAGOA VERMELHA,-28.22249999,4.2,Fraca
RS,2003-08-11,83916,-51.51277777,LAGOA VERMELHA,-28.22249999,1.4,Moderada
RS,2003-08-10,83916,-51.51277777,LAGOA VERMELHA,-28.22249999,0.4,Forte
RS,2003-08-09,83916,-51.51277777,LAGOA VERMELHA,-28.22249999,1.0,Moderada
RS,2003-08-08,83916,-51.51277777,LAGOA VERMELHA,-28.22249999,2.2,Moderada
RS,2003-08-07,83916,-51.51277777,LAGOA VERMELHA,-28.22249999,2.4,Moderada
MG,2003-08-18,83683,-45.94083333,MACHADO,-21.68138888,3.9,Fraca
RS,2003-08-28,83914,-52.41194444,PASSO FUNDO,-28.2286111,3.1,Fraca
RS,2003-08-27,83914,-52.41194444,PASSO FUNDO,-28.2286111,3.6,Fraca
RS,2003-08-26,83914,-52.41194444,PASSO FUNDO,-28.2286111,2.8,Moderada
RS,2003-08-18,83914,-52.41194444,PASSO FUNDO,-28.2286111,4.8,Fraca
RS,2003-08-17,83914,-52.41194444,PASSO FUNDO,-28.2286111,4.7,Fraca
RS,2003-08-11,83914,-52.41194444,PASSO FUNDO,-28.2286111,2.6,Moderada
RS,2003-08-10,83914,-52.41194444,PASSO FUNDO,-28.2286111,0.5,Forte
RS,2003-08-09,83914,-52.41194444,PASSO FUNDO,-28.2286111,1.4,Moderada
RS,2003-08-08,83914,-52.41194444,PASSO FUNDO,-28.2286111,4.2,Fraca
RS,2003-08-27,83967,-51.17472221,PORTO ALEGRE,-30.05361111,3.5,Fraca
RS,2003-08-28,83936,-53.72055554,SANTA MARIA,-29.72472221,3.0,Fraca
RS,2003-08-26,83936,-53.72055554,SANTA MARIA,-29.72472221,2.4,Moderada
RS,2003-08-17,83936,-53.72055554,SANTA MARIA,-29.72472221,2.6,Moderada
RS,2003-08-11,83936,-53.72055554,SANTA MARIA,-29.72472221,2.4,Moderada
RS,2003-08-10,83936,-53.72055554,SANTA MARIA,-29.72472221,2.8,Moderada
RS,2003-08-26,83997,-53.35027777,SANTA VITORIA DO PALMAR,-33.53166666,0.3,Forte
RS,2003-08-25,83997,-53.35027777,SANTA VITORIA DO PALMAR,-33.53166666,3.1,Fraca
RS,2003-08-17,83997,-53.35027777,SANTA VITORIA DO PALMAR,-33.53166666,2.8,Moderada
RS,2003-08-26,83953,-55.613073,SANTANA DO LIVRAMENTO,-30.842617,3.3,Fraca
RS,2003-08-17,83953,-55.613073,SANTANA DO LIVRAMENTO,-30.842617,6.4,Fraca
RS,2003-08-11,83953,-55.613073,SANTANA DO LIVRAMENTO,-30.842617,2.7,Moderada
RS,2003-08-10,83953,-55.613073,SANTANA DO LIVRAMENTO,-30.842617,2.5,Moderada
SC,2003-09-01,83920,-49.93472221,SÃO JOAQUIM,-28.27555554,0.0,Forte
SC,2003-08-28,83920,-49.93472221,SÃO JOAQUIM,-28.27555554,-3.0,Forte
SC,2003-08-27,83920,-49.93472221,SÃO JOAQUIM,-28.27555554,-2.8,Forte
SC,2003-08-26,83920,-49.93472221,SÃO JOAQUIM,-28.27555554,-2.5,Forte
SC,2003-08-18,83920,-49.93472221,SÃO JOAQUIM,-28.27555554,3.2,Fraca
SC,2003-08-17,83920,-49.93472221,SÃO JOAQUIM,-28.27555554,-1.0,Forte
SC,2003-08-13,83920,-49.93472221,SÃO JOAQUIM,-28.27555554,2.0,Moderada
SC,2003-08-12,83920,-49.93472221,SÃO JOAQUIM,-28.27555554,3.0,Fraca
SC,2003-08-11,83920,-49.93472221,SÃO JOAQUIM,-28.27555554,-1.0,Forte
SC,2003-08-10,83920,-49.93472221,SÃO JOAQUIM,-28.27555554,-3.5,Forte
SC,2003-08-09,83920,-49.93472221,SÃO JOAQUIM,-28.27555554,-2.0,Forte
SC,2003-08-08,83920,-49.93472221,SÃO JOAQUIM,-28.27555554,2.0,Moderada
SC,2003-08-07,83920,-49.93472221,SÃO JOAQUIM,-28.27555554,0.0,Forte
MG,2003-08-19,83736,-45.04333333,SÃO LOURENÇO,-22.12638888,3.0,Fraca
MG,2003-08-18,83736,-45.04333333,SÃO LOURENÇO,-22.12638888,2.7,Moderada
RS,2003-08-28,83907,-54.9625,SÃO LUIZ GONZAGA,-28.41722221,1.6,Moderada
RS,2003-08-10,83907,-54.9625,SÃO LUIZ GONZAGA,-28.41722221,2.5,Moderada
RS,2003-08-09,83907,-54.9625,SÃO LUIZ GONZAGA,-28.41722221,3.5,Fraca
RS,2003-08-26,83927,-57.08194443,URUGUAIANA,-29.83999999,2.3,Moderada
RS,2003-08-25,83927,-57.08194443,URUGUAIANA,-29.83999999,2.1,Moderada
RS,2003-08-17,83927,-57.08194443,URUGUAIANA,-29.83999999,3.0,Fraca
RS,2003-09-17,83980,-54.11944443,BAGÉ,-31.30555555,2.7,Moderada
RS,2003-09-15,83980,-54.11944443,BAGÉ,-31.30555555,3.6,Fraca
RS,2003-09-14,83980,-54.11944443,BAGÉ,-31.30555555,1.7,Moderada
RS,2003-09-11,83980,-54.11944443,BAGÉ,-31.30555555,2.4,Moderada
RS,2003-09-11,83919,-50.44194444,BOM JESUS,-28.66944443,2.3,Moderada
SC,2003-09-12,83887,-51.21611111,CAMPOS NOVOS,-27.38388888,1.2,Moderada
SC,2003-09-11,83887,-51.21611111,CAMPOS NOVOS,-27.38388888,0.8,Forte
RS,2003-09-11,83942,-51.18638888,CAXIAS DO SUL,-29.1961111,1.4,Moderada
SC,2003-09-11,83883,-52.66305555,CHAPECO,-27.13555555,0.8,Forte
RS,2003-09-11,83964,-52.52472221,ENCRUZILHADA DO SUL,-30.54305555,3.0,Fraca
PR,2003-09-14,83836,-50.63749999,IRATI,-25.50277777,3.1,Fraca
PR,2003-09-12,83836,-50.63749999,IRATI,-25.50277777,0.3,Forte
PR,2003-09-11,83836,-50.63749999,IRATI,-25.50277777,-0.5,Forte
PR,2003-09-12,83811,-50.85361111,IVAI,-25.01083333,1.6,Moderada
PR,2003-09-11,83811,-50.85361111,IVAI,-25.01083333,1.1,Moderada
SC,2003-09-17,83891,-50.335567,LAGES,-27.802108,5.4,Fraca
SC,2003-09-12,83891,-50.335567,LAGES,-27.802108,1.8,Moderada
SC,2003-09-11,83891,-50.335567,LAGES,-27.802108,-1.8,Forte
RS,2003-09-14,83916,-51.51277777,LAGOA VERMELHA,-28.22249999,1.6,Moderada
RS,2003-09-12,83916,-51.51277777,LAGOA VERMELHA,-28.22249999,4.2,Fraca
RS,2003-09-11,83916,-51.51277777,LAGOA VERMELHA,-28.22249999,0.2,Forte
